institute,quota,category,closing_rank,candidates_seen,state
Uttar Pradesh University of Medical Sciences,AIQ,General,89842,7,Uttar Pradesh
V.S.S. MEDICAL COLLEGE,AIQ,General,143763,2,Odisha
VARDHMAN INSTITUTE OF MEDICAL SCIENCES,AIQ,General,117034,1,Bihar
VELS MEDICAL COLLEGE & HOSPITAL,AIQ,General,603600,5,Tamil Nadu
VIJAYNAGAR INST OF MED. SC,AIQ,General,115750,13,Karnataka
VMKV Medical College and Hospital,AIQ,General,656654,4,
Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,AIQ,General,116381,2,Delhi
Veer Chandra Singh Garhwali Govt. Institute of Medical Science & Research,AIQ,General,101978,5,Uttarakhand
Vinayaka Missions Medical College and Hospital,AIQ,General,693547,6,Puducherry
Virendra Kumar Sakhlecha Government Medical College,AIQ,General,108149,7,Madhya Pradesh
YADGIRI INSTITUTE OF MEDICAL SCIENCES,AIQ,General,24321,9,Karnataka
Yenepoya Medical College,AIQ,General,404110,9,Karnataka
