sno,state,code,name,mgmt,renewed,increased,total
771,Telangana,TS/064/P/4,"Surabhi Institute of Medical Sciences, Siddipet, Telangana",Private,200,0,200
772,Gujarat,GJ/040/G/1,"Surat Municipal Institute of Medical Education & Research, Surat",Government,250,0,250
773,Andhra Pradesh,AP/037/G/1,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati",Government,175,0,175
774,Gujarat,GJ/041/P/3,SWAMIINARAYAN INSTITUTE OF MEDICAL SCIENCES & RESEARCH,Private,200,0,200
775,Tamil Nadu,TN/066/P/3,Swamy Vivekanandha Medical College Hospital And Research Institute,Private,200,50,250
776,Maharashtra,MH/081/P/3,"Symbiosis Medical College for Women, Pune",Private,150,0,150
777,Kerala,KL/035/G/1,"T D Medical College, Alleppey (Allappuzha)",Government,175,0,175
778,Uttar Pradesh,UP/080/P/5,"T S Misra Medical College & Hospital, Amusi, Lucknow",Private,250,0,250
779,Tamil Nadu,TN/067/P/3,"Tagore Medical College and Hospital, Chennai",Private,250,0,250
780,Tamil Nadu,TN/068/P/5,TAKSHASHILA MEDICAL COLLEGE,Private,100,100,200
781,West Bengal,WB/040/G/1,Tamralipto Government Medical College & Hospital,Government,100,50,150
782,Uttar Pradesh,UP/081/P/4,"Teerthanker Mahaveer Medical College, Moradabad",Private,250,0,250
783,Maharashtra,MH/082/P/3,"Terna Medical College, Navi Mumbai",Private,150,0,150
784,Assam,AS/014/G/1,"Tezpur Medical College & Hospital, Tezpur",Government,125,0,125
785,Tamil Nadu,TN/069/G/1,"Thanjavur Medical College, Thanjavur",Government,150,0,150
786,Karnataka,KA/068/P/4,"The Oxford Medical College, Hospital & Research Centre, Bangalore",Private,200,50,250
787,Tamil Nadu,TN/070/G/1,"Theni Government Medical College, Theni",Government,100,0,100
788,Tamil Nadu,TN/071/G/1,"Thiruvarur Govt. Medical College, Thiruvarur",Government,100,0,100
789,Tamil Nadu,TN/072/G/1,"Thoothukudi Medical College, Thoothukudi",Government,150,0,150
790,Assam,AS/015/G/1,Tinsukia Medical College - Assam Pin - 786146,Government,100,0,100
791,Tamil Nadu,TN/073/G/1,"Tirunelveli Medical College, Tirunelveli",Government,250,0,250
792,Arunachal Pradesh,AR/001/G/1,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun",Government,100,0,100
793,Maharashtra,MH/083/G/1,"Topiwala National Medical College, Mumbai",Government,150,0,150
794,Kerala,KL/036/P/3,"Travancore Medical College, Kollam",Private,200,0,200
795,Tamil Nadu,TN/074/P/3,"Trichy SRM Medical College Hospital & Research Centre, Trichy",Private,250,0,250
796,Tripura,TR/002/P/4,"Tripura Medical College and Dr. B R A M Teaching Hospital, Agartala",Private,150,0,150
797,Tripura,TR/003/P/3,"Tripura Santiniketan Medical College, Dist- West Tripura",Private,150,0,150
798,Telangana,TS/065/P/4,"TRR Institute of Medical Sciences, patancheru",Private,150,0,150
799,Uttar Pradesh,UP/082/G/1,Uma Nath Singh Autonomous State Medical College Society Jaunpur,Government,100,0,100
800,Uttar Pradesh,UP/083/P/4,"United Institute of Medical Sciences, Allahabad",Private,150,100,250
801,Delhi,DL/010/G/1,"University College of Medical Sciences & GTB Hospital, New Delhi",Government,170,0,170
802,Uttar Pradesh,UP/084/G/1,"Uttar Pradesh University of Medical Sciences, (Prev. UP Rural Inst.of Med.Sc&R) Etawah",Government,200,0,200
803,Delhi,DL/009/G/1,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",Government,170,0,170
804,Uttar Pradesh,UP/085/P/3,"Varun Arjun Medical College, Banthra, Shahjahanpur",Private,250,0,250
805,Maharashtra,MH/084/P/5,"Vedantaa Institute of Medical Sciences, Palghar, Maharashtra",Private,150,0,150
806,Uttarakhand,UK/009/G/1,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal",Government,150,0,150
807,Odisha,OD/019/G/1,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla",Government,200,50,250
808,Tamil Nadu,TN/075/P/3,"Velammal Medical College Hospital and Research Institute, Madurai",Private,150,0,150
809,Tamil Nadu,TN/076/P/3,VELS Medical College & Hospital,Private,250,0,250
810,Uttar Pradesh,UP/086/P/3,"Venkateshwara Institute of Medical Sciences, Gajraula",Private,250,0,250
811,Karnataka,KA/069/G/1,"Vijaynagar Institute of Medical Sciences, Bellary",Government,250,0,250
812,Tamil Nadu,TN/077/P/3,"Vinayaka Missions Kirupananda Variyar Medical College, Salem",Private,150,50,200
813,Puducherry,PY/008/P/3,"Vinayaka Missions Medical College, Karaikal, Pondicherry",Private,150,50,200
814,Bihar,BR/024/P/5,VIRAAT RAMAYAN INSTITUTE OF MEDICAL SCIENCES,Private,50,100,150
815,Madhya Pradesh,MP/034/G/1,Virendra Kumar Sakhlecha Government Medical College,Government,100,0,100
816,Andhra Pradesh,AP/038/P/4,Viswabharathi Medical College,Private,250,0,250
817,Rajasthan,RJ/047/P/5,"Vyas Medical College & Hospital Jodhpur, Rajasthan",Private,100,0,100
818,Karnataka,KA/070/P/3,"Vydehi Institute Of Medical Sciences & Research Centre, Bangalore",Private,250,0,250
819,Haryana,HR/017/P/3,"World College of Medical Sciences & Researc, Jhajjar, Haryana",Private,250,0,250
820,Karnataka,KA/071/G/1,"Yadgiri Institute of Medical Sciences, Yadgiri",Government,150,0,150
821,Karnataka,KA/072/P/3,"Yenepoya Medical College, Mangalore",Private,250,0,250
822,Mizoram,MZ/001/G/1,"Zoram Medical College, Mizoram",Government,100,0,100
823,Gujarat,GJ/042/P/5,"Zydus Medical College & Hospital, Dahod",Private,200,0,200
