Haryana|Maharishi Chyawan Medical College, Koriawas|100
Haryana|Pt NEKI RAM SHARMA Government Medical College, Bhiwani|100
Haryana|Shaheed Hasan Khan Mewati Government Medical College, Nalhar|120
Haryana|Shri Atal Bihari Vajpayee Government Medical College, Faridabad|100
Himachal Pradesh|Dr. Radhakrishnan Government Medical College, Hamirpur|120
Himachal Pradesh|Dr. Rajendar Prasad Government Medical College, Tanda|120
Himachal Pradesh|Government Medical College, Nahan, Sirmour|120
Himachal Pradesh|Pt. Jawahar Lal Nehru Government Medical College, Chamba|121
Himachal Pradesh|Shri Lal Bahadur Shastri Government Medical College, Mandi|120
Jammu and Kashmir|Government Medical College Handwara|100
Jammu and Kashmir|Government Medical College Udhampur|100
Jammu and Kashmir|Government Medical College, Anantnag|150
Jammu and Kashmir|Government Medical College, Baramulla|150
Jammu and Kashmir|Government Medical College, Kathua|150
Jammu and Kashmir|Government Medical College, Rajouri|100
Jammu and Kashmir|Govt. Medical College, Doda|150
Jharkhand|Dumka Medical College, Dighi Dumka|100
Jharkhand|Hazaribagh Medical College, Hazaribagh|100
Jharkhand|M G M Medical College, Jamshedpur|150
Jharkhand|Palamu Medical College, Palamu|100
Jharkhand|Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad|100
Karnataka|Belagavi Institute of Medical Sciences, Belagavi|200
Karnataka|Bidar Institute of Medical Sciences, Bidar|200
Karnataka|Chamrajanagar Institute of Medical Sciences|150
Karnataka|Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru|150
Karnataka|Chitradurga Medical College and Research Institute|150
Karnataka|Employees State Insurance Corporation Medical College, Bangalore|150
Karnataka|Employees State Insurance Corporation Medical College, Gulbarga|150
Karnataka|Gulbarga Institute of Medical Sciences, Gulbarga|200
Karnataka|Hassan Institute of Medical Sciences, Hassan|200
Karnataka|Haveri Institute of Medical Sciences, Haveri|150
Karnataka|K.H. Patil Institute of Medical Sciences, Gadag|200
Karnataka|Karnataka Medical College and Research Institute, Hubballi|250
Karnataka|Karwar Institute of Medical Sciences, Karwar|150
Karnataka|Kodagu Institute of Medical Sciences, Kodagu|150
Karnataka|Koppal Institute of Medical Sciences, Koppal|150
Karnataka|Mandya Institute of Medical Sciences, Mandya|200
Karnataka|Nandi Medical College and Research Institute, Chikkaballapura|150
Karnataka|Raichur Institute of Medical Sciences, Raichur|200
Karnataka|Shimoga Institute of Medical Sciences, Shimoga|150
Karnataka|Shri Atal Bihari Vajapayee Medical College and Research Institute, Bengaluru|200
Karnataka|Vijaynagar Institute of Medical Sciences, Bellary|250
Karnataka|Yadgiri Institute of Medical Sciences, Yadgiri|150
Kerala|Government Medical College, Palakkad|100
Kerala|Government Medical College Kasaragod|50
Kerala|Government Medical College, Ernakulam|110
Kerala|Government Medical College, Idukki|100
Kerala|Government Medical College, Konni|100
Kerala|Government Medical College, Kottayam|175
Kerala|Government Medical College, Manjeri, Malapuram|110
Kerala|Government Medical College, Parippally, Kollam|110
Kerala|Government Medical College, Thrissur|175
Kerala|Government Medical College, Wayanad|50
Kerala|Govt. Medical College, Pariyaram, Kannur|100
Kerala|T D Medical College, Alleppey|175
Madhya Pradesh|Bundelkhand Medical College, Sagar|150
Madhya Pradesh|Dr. Laxminarayan Pandey Government Medical College, Ratlam|200
Madhya Pradesh|ESIC Medical College and Hospital, Indore|50
Madhya Pradesh|Gajra Raja Medical College, Gwalior|250
Madhya Pradesh|Gandhi Medical College, Bhopal|250
Madhya Pradesh|Government Medical College, Sheopur|100
Madhya Pradesh|Government Medical College, Singrauli|100
Madhya Pradesh|Government Medical College, Chhindwara|150
Madhya Pradesh|Government Medical College, Datia|120
Madhya Pradesh|Government Medical College, Khandwa|120
Madhya Pradesh|Government Medical College, Satna|150
Madhya Pradesh|Government Medical College, Seoni|100
Madhya Pradesh|Government Medical College, Shahdol|100
Madhya Pradesh|Government Medical College, Shivpuri|100
Madhya Pradesh|Government Medical College, Vidisha|180
Madhya Pradesh|M G M Medical College, Indore|250
Madhya Pradesh|Shyam Shah Medical College, Rewa|200
Madhya Pradesh|Sundarlal Patwa Govt. Medical College|100
Madhya Pradesh|Virendra Kumar Sakhlecha Government Medical College|100
Maharashtra|Armed Forces Medical College, Pune|150
Maharashtra|Dr Vaishampayan Memorial Medical College, Solapur|200
Maharashtra|Dr. Shankarrao Chavan Govt. Medical College, Nanded|150
Maharashtra|ESIC Medical College and Hospital, Andheri|50
Maharashtra|Government Medical College & Hospital, Baramati|100
Maharashtra|Government Medical College, Ratnagiri|100
Maharashtra|Government Medical College, L.T. Marg, Mumbai|50
Maharashtra|Government Medical College, Akola|200
Maharashtra|Government Medical College, Alibag|100
Maharashtra|Government Medical College, Ambernath|100
Maharashtra|Government Medical College, Amravati|100
Maharashtra|Government Medical College, Aurangabad|200
Maharashtra|Government Medical College, Bhandara|100
Maharashtra|Government Medical College, Buldhana|100
Maharashtra|Government Medical College, Chandrapur|150
Maharashtra|Government Medical College, Gadchiroli|100
Maharashtra|Government Medical College, Gondia|150
Maharashtra|Government Medical College, Hingoli|100
Maharashtra|Government Medical College, Jalgaon|150
Maharashtra|Government Medical College, Jalna|100
Maharashtra|Government Medical College, Latur|150
Maharashtra|Government Medical College, Miraj|200
Maharashtra|Government Medical College, Nandurbar|100
Maharashtra|Government Medical College, Nashik|100
Maharashtra|Government Medical College, Osmanabad|100
Maharashtra|Government Medical College, Parbhani|100
Maharashtra|Government Medical College, Satara|100
Maharashtra|Government Medical College, Sindhudurg|100
Maharashtra|Government Medical College, Washim|100
Maharashtra|H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital, Mumbai|200
Maharashtra|Indira Gandhi Medical College & Hospital, Nagpur|200
